_id,author_details,title,isbn,publisher,date_published,rating,read,series_details,pages,notes,list_price,format,description,genre,language,date_added,last_update_date,book_uuid
1,"Ibsen, Henrik|Meyer, Michael",Plays 5: Brand / Emperor and Galilean,9780413604903,Bloomsbury Methuen Drama,1986-01-09,0,0,,256,,,paper,"<div>""Meyer's translations of Ibsen are a major fact in one's general sense of post-war drama. Their vital pace, their unforced insistence on the poetic centre of Ibsen's genius, have beaten academic versions from the field"" (George Steiner)<br /><br /><br /><p><br />The two epic plays in this volume stand, together with Peer Gynt and The Pretenders, at the fulcrum of Ibsen's career. Brand (1865) stated sharply and vividly the necessity of following one's private conscience and 'being oneself'. It created an immediate sensation and was hailed by Strindberg as 'the voice of a Savonarola'. Emperor and Galilean (1873), which Ibsen referred to as his masterpiece, is both his farewell to the epic drama and the forerunner of his great naturalistic prose plays that were to burst on the nineteenth century.</p><p>Michael Meyer's translations are 'crisp and cobweb-free, purged of verbal Victoriana' (Kenneth Tynan)<br /></p><br /></div>",Drama / European / General,,2017-10-15 1:38:36,2017-10-15 1:38:36,ca49538689dcf78adf59790c8957f72c
2,"McCourt, Frank",Tis,684865742,Simon & Schuster,2000-08-28,0,0,Frank McCourt (2),368,,17,Paperback,"The sequel to Frank McCourt's memoir of his Irish Catholic boyhood, <i>Angela's Ashes</i>, picks up the story in October 1949, upon his arrival in America. Though he was born in New York, the family had returned to Ireland due to poor prospects in the United States. Now back on American soil, this awkward 19-year-old, with his ""pimply face, sore eyes, and bad teeth,"" has little in common with the healthy, self-assured college students he sees on the subway and dreams of joining in the classroom. Initially, his American experience is as harrowing as his impoverished youth in Ireland, including two of the grimmest Christmases ever described in literature. McCourt views the U.S. through the same sharp eye and with the same dark humor that distinguished his first memoir: race prejudice, casual cruelty, and dead-end jobs weigh on his spirits as he searches for a way out. A glimpse of hope comes from the army, where he acquires some white-collar skills, and from New York University, which admits him without a high school diploma. But the journey toward his position teaching creative writing at Stuyvesant High School is neither quick nor easy. Fortunately, McCourt's openness to every variety of human emotion and longing remains exceptional; even the most damaged, difficult people he encounters are richly rendered individuals with whom the reader can't help but feel uncomfortable kinship. The magical prose, with its singing Irish cadences, brings grandeur and beauty to the most sorrowful events, including the final scene, set in a Limerick graveyard. <i>--Wendy Smith</i>",Biography & Autobiography / Educators,English,2017-10-15 1:40:30,2017-10-15 1:40:30,3ddb0da4ad1911d76f8e21565502ad5d
3,"Jr., Walter M. Miller|Miller, Walter M.","Canticle for Leibowitz, A",9780553379266,Bantam Spectra,1997-09-02,0,0,St. Leibowitz (1)|Bantam Spectra Book,338,,12.95,Paperback,"In celebration of the publication of the sequel <b>Saint Leibowitz and the Wild Horse Woman</b> comes this special edition of the classic <b>A Canticle for Leibowitz</b><i>,</i> a novel that transcends genre to stand as one of the most significant literary works of our time.<br /><br />In the Utah desert, Brother Francis of the Albertian Order of Leibowitz has made a miraculous discovery: the relics of the martyr Isaac Leibowitz himself, including the blessed blueprint and the sacred shopping list. They may provide a bright ray of hope in a terrifying age of darkness, a time of ignorance and genetic monsters that are the unholy aftermath of the Flame Deluge. But as the spellbinding mystery at the core of this extraordinary novel unfolds, it is the search itself—for meaning, for truth, for love—that offers hope to a humanity teetering on the edge of an abyss.<br /><br />A timeless and still timely masterpiece, <b>A Canticle for Leibowitz</b> is a classic that ranks with <i>Brave New World</i> and <i>1984.</i>",Literary Criticism / Science Fiction & Fantasy,English,2017-10-15 1:41:10,2017-10-15 1:41:10,4e39957e569c025d7ba9e564164ed9d6
4,"Mitchell, David|Mitchell, David Stephen",Cloud Atlas,9780375507250,Random House,2004-08-17,0,0,,509,,17,Paperback,"<i>Cloud Atlas</i> begins in 1850 with Adam Ewing, an American notary voyaging from the Chatham Isles to his home in California. Along the way, Ewing is befriended by a physician, Dr. Goose, who begins to treat him for a rare species of brain parasite. . . . Abruptly, the action jumps to Belgium in 1931, where Robert Frobisher, a disinherited bisexual composer, contrives his way into the household of an infirm maestro who has a beguiling wife and a nubile daughter. . . . From there we jump to the West Coast in the 1970s and a troubled reporter named Luisa Rey, who stumbles upon a web of corporate greed and murder that threatens to claim her life. . . . And onward, with dazzling virtuosity, to an inglorious present-day England; to a Korean superstate of the near future where neocapitalism has run amok; and, finally, to a postapocalyptic Iron Age Hawaii in the last days of history.<br /><br />But the story doesn’t end even there. The narrative then boomerangs back through centuries and space, returning by the same route, in reverse, to its starting point. Along the way, Mitchell reveals how his disparate characters connect, how their fates intertwine, and how their souls drift across time like clouds across the sky.<br /><br />As wild as a videogame, as mysterious as a Zen koan, <i>Cloud Atlas</i> is an unforgettable tour de force that, like its incomparable author, has transcended its cult classic status to become a worldwide phenomenon.",Fiction / Literary,English,2017-10-15 1:41:55,2017-10-15 1:41:55,7bbe0d66a6eeaf13c37f0c4b21852f00
5,"Jr., L.E. Modesitt|Jr., L. E. Modesitt|L. E. Modesitt, Jr.",Fall of Angels,812538951,Tor Fantasy,1997-07-15,0,0,The Saga of Recluce (6)|Recluce Zyklus (6)|The Saga of Recluce (Chronological)|Saga of Recluce,592,,8.99,Mass Market Paperback,"<p><b>""An intriguing fantasy in a fascinating world."" ―Robert Jordan</b><b><i>, New York Times </i>b</b><b>estselling author of The Wheel of Time</b>®<b> series</b></p><p>Nylan is an engineer and builder whose job it is to raise a great tower on the plateau known as the Roof of the World. Here, he and the exiled women warriors will live and survive to fulfill their destiny. Here a revolutionary new society will be born . . . if Nylan can get the tower built and defenses in place before the rulers of the lowland nations come with their armies to obliterate them all. And if Nylan can learn to control the magical powers that are growing within him.</p><p>L.E. Modesitt, Jr.'s bestselling fantasy novels set in the magical world of Recluce are among the most popular in contemporary fantasy. Each novel tells an independent story that nevertheless reverberates though all the other books in the series, to deepen and enhance the reading experience. Rich in detail, the Recluce books are a feast of wondrous marvels.</p><p><u><b>Saga of Recluce</b></u></p><p>#1 <i>The Magic of Recluce / </i>#2<i> The Towers of Sunset / </i>#3 <i>The Magic Engineer / </i>#4 <i>The Order War</i><i> / </i>#5 <i>The Death of Chaos / </i>#6<i> Fall of Angels / </i>#7 <i>The Chaos Balance / </i>#8 <i>The White Order / </i>#9 <i>Colors of Chaos / </i>#10 <i>Magi’i of Cyador / </i>#11 <i>Scion of Cyador / </i>#12 <i>Wellspring of Chaos / </i>#13 <i>Ordermaster / </i>#14 <i>Natural Order Mage / </i>#15 <i>Mage-Guard of Hamor / </i>#16 <i>Arms-Commander / </i>#17 <i>Cyador’s Heirs / </i>#18 <i>Heritage of Cyador /</i>#19 <i>The Mongrel Mage (forthcoming)</i></p><p>Story Collection: <i>Recluce Tales</i></p><p><b><u>Other Series by L.E. Modesitt, Jr.</u></b><br>The Imager Portfolio<br>The Corean Chronicles<br>The Spellsong Cycle<br>The Ghost Books<br>The Ecolitan Matter</p>",Fiction / Fantasy / Military,English,2017-10-15 1:44:03,2017-10-15 1:44:03,272d7fb63b88b974874ebd4110515f87
6,"Jr., L.E. Modesitt|Jr., L. E. Modesitt","Towers of the Sunset, The",812519671,Tor Fantasy,1993-08-15,0,0,The Saga of Recluce (2)|Recluce Zyklus (2)|The Saga of Recluce (Chronological)|Recluce series (2),536,,8.99,Mass Market Paperback,"Tells the story of Creslin, son of a powerful military matriarch, who chooses exile rather than an arranged marriage. He sets out on a search for his true identity as a man, developing his magical talents through constant conflict with the enigmatic white wizards of Candar.",,English,2017-10-15 1:44:25,2017-10-15 1:44:25,150393bf3d60902b0f3bdd8291536fba
7,"Márquez, Gabriel García|Rabassa, Gregory",One Hundred Years of Solitude,9780060883287,Harper Perennial Modern Classics,2006-02-21,0,0,Harper Perennial Modern Classics,417,,16.99,Paperback,"One of the most influential literary works of our time, <i>One Hundred Years of Solitude</i> remains a dazzling and original achievement by the masterful Gabriel Garcí­a Márquez, winner of the Nobel Prize in Literature.<br /><p><i>One Hundred Years of Solitude</i> tells the story of the rise and fall, birth and death of the mythical town of Macondo through the history of the Buendía family. Inventive, amusing, magnetic, sad, and alive with unforgettable men and women--brimming with truth, compassion, and a lyrical magic that strikes the soul--this novel is a masterpiece in the art of fiction.<br /></p><p>""<i>One Hundred Years of Solitude</i> is the first piece of literature since the Book of Genesis that should be required reading for the entire human race....Mr. Garcí­a Márquez has done nothing less than to create in the reader a sense of all that is profound, meaningful, and meaningless in life.""--William Kennedy, <i>New York Times Book Review</i></p>",Fiction / Classics,English,2017-10-15 1:44:54,2017-10-15 1:44:54,4c4b0d678daff523c68d96adb15b374a
8,"Martin, George R.R.|Martin, George R. R.","Clash of Kings, A",9780553579901,Bantam Books,2000-09-05,0,0,A Song of Ice and Fire (2),1010,,9.99,Mass Market Paperback,"Alternate cover editions can be found <a href=""https://www.goodreads.com/book/show/7455201-a-clash-of-kings"" rel=""nofollow"">here</a>, <a href=""https://www.goodreads.com/book/show/13072680-a-clash-of-kings"" rel=""nofollow"">here</a> and <a href=""https://www.goodreads.com/book/show/13418337-a-clash-of-kings"" rel=""nofollow"">here</a>. <br /><br />In this eagerly awaited sequel to <i>A Game of Thrones</i>, George R.R. Martin has created a work of unsurpassed vision, power, and imagination. <i>A Clash of Kings</i> transports us to a world of revelry and revenge, wizardry and warfare unlike any you have ever experienced.<br /><br />A comet the colour of blood and flame cuts across the sky. And from the ancient citadel of Dragonstone to the forbidding shores of Winterfell, chaos reigns. Six factions struggle for control of a divided land and the Iron Throne of the Seven Kingdoms, preparing to stake their claims through tempest, turmoil, and war. It is a tale in which brother plots against brother and the dead rise to walk at night. Here a princess masquerades as an orphan boy; a knight of the mind prepares a poison for a treacherous sorceress; and wild men descend from the Mountains of the Moon to ravage the countryside. Against a backdrop of incest and fratricide, alchemy and murder, victory may go to the men and women possessed of the coldest steel...and the coldest hearts. For when kings clash, the whole land trembles.<br /><br />Audacious, inventive, brilliantly imagined, <i>A Clash of Kings</i> is a novel of dazzling beauty and boundless enchantment—a tale of pure excitement you will never forget.",,English,2017-10-15 1:45:20,2017-10-15 1:45:20,87c1f2ba35c18f0b719173d07b923c03
9,"Martin, George R.R.","Game of Thrones, A",553573403,Bantam Spectra,1997-09,0,0,A Song of Ice and Fire (1),835,,,Mass Market Paperback,"Long ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister forces are massing beyond the kingdom’s protective Wall. To the south, the king’s powers are failing—his most trusted adviser dead under mysterious circumstances and his enemies emerging from the shadows of the throne. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the frozen land they were born to. Now Lord Eddard Stark is reluctantly summoned to serve as the king’s new Hand, an appointment that threatens to sunder not only his family but the kingdom itself.<br /><br />Sweeping from a harsh land of cold to a summertime kingdom of epicurean plenty, A Game of Thrones tells a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens. Here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; a child is lost in the twilight between life and death; and a determined woman undertakes a treacherous journey to protect all she holds dear. Amid plots and counter-plots, tragedy and betrayal, victory and terror, allies and enemies, the fate of the Starks hangs perilously in the balance, as each side endeavors to win that deadliest of conflicts: the game of thrones.<br /><br />Unparalleled in scope and execution, A Game of Thrones is one of those rare reading experiences that catch you up from the opening pages, won’t let you go until the end, and leave you yearning for more.<br /><br />Alternate cover edition <a href=""https://www.goodreads.com/book/show/11264999-a-game-of-thrones"" rel=""nofollow"">here</a>.",,,2017-10-15 1:46:22,2017-10-15 1:46:22,86b4e19e3b40be0b54b58eaf3bd8d77a
10,"Nabokov, Vladimir|Jr., John Ray",Lolita,9780679723165,Vintage International,1989-03-13,0,0,,317,,16,Paperback,"Awe and exhiliration--along with heartbreak and mordant wit--abound in Lolita, Nabokov's most famous and controversial novel, which tells the story of the aging Humbert Humbert's obsessive, devouring, and doomed passion for the nymphet Dolores Haze. Lolita is also the story of a hypercivilized European colliding with the cheerful barbarism of postwar America. Most of all, it is a meditation on love--love as outrage and hallucination, madness and transformation.",,English,2017-10-15 1:46:57,2017-10-15 1:46:57,5aae546f3f62dca7382680b67b3a173f
